"","otherSpeeches"
". It is a story of a new world that became a friend and liberator of the old , the story of a slaveholding society that became a servant of freedom , the story of a power that went into the world to protect but not possess , to defend but not to conquer . I know this is in our reach because we are guided by a power larger than ourselves , who creates us equal , in His image , and we are confident in principles that unite and lead us onward . We are bound by ideals that move us beyond our backgrounds , lift us above our interests , and teach us what it means to be citizens . I ask you to seek a common good beyond your comfort , to defend needed reforms against easy attacks , to serve your Nation , beginning with your neighbor . Never tiring , never yielding , never finishing , we renew that purpose today , to make our country more just and generous , to affirm the dignity of our lives and every life","It is a story of a new world that became a friend and liberator of the old, the story of a slaveholding society that became a servant of freedom, the story of a power that went into the world to protect but not possess, to defend but not to conquer. I know this is in our reach because we are guided by a power larger than ourselves, who creates us equal, in His image, and we are confident in principles that unite and lead us onward. We are bound by ideals that move us beyond our backgrounds, lift us above our interests, and teach us what it means to be citizens. I ask you to seek a common good beyond your comfort, to defend needed reforms against easy attacks, to serve your Nation, beginning with your neighbor. Never tiring, never yielding, never finishing, we renew that purpose today, to make our country more just and generous, to affirm the dignity of our lives and every life."
". America 's influence is not unlimited , but fortunately for the oppressed , America 's influence is considerable and we will use it confidently in freedom 's cause . By making every citizen an agent of his or her own destiny , we will give our fellow Americans greater freedom from want and fear and make our society more prosperous and just and equal ? These questions that judge us also unite us , because Americans of every party and background , Americans by choice and by birth are bound to one another in the cause of freedom . And we can feel that same unity and pride whenever America acts for good and the victims of disaster are given hope and the unjust encounter justice and the captives are set free . When our Founders declared a new order of the ages , when soldiers died in wave upon wave for a union based on liberty , when citizens marched in peaceful outrage under the banner \""Freedom Now , \ "" they were acting on an ancient hope that is meant to be fulfilled","America 's influence is not unlimited, but fortunately for the oppressed, America 's influence is considerable and we will use it confidently in freedom 's cause. By making every citizen an agent of his or her own destiny, we will give our fellow Americans greater freedom from want and fear and make our society more prosperous and just and equal ? These questions that judge us also unite us, because Americans of every party and background, Americans by choice and by birth are bound to one another in the cause of freedom. And we can feel that same unity and pride whenever America acts for good and the victims of disaster are given hope and the unjust encounter justice and the captives are set free. When our Founders declared a new order of the ages, when soldiers died in wave upon wave for a union based on liberty, when citizens marched in peaceful outrage under the banner \""Freedom Now, \ "" they were acting on an ancient hope that is meant to be fulfilled."
". The large variety of diverse and competing interests subject to Federal control , persistently seeking the recognition of their claims , need give us no fear that \""the greatest good to the greatest number\ "" will fail to be accomplished if in the halls of national legislation that spirit of amity and mutual concession shall prevail in which the Constitution had its birth . In the discharge of my official duty I shall endeavor to be guided by a just and unstrained construction of the Constitution , a careful observance of the distinction between the powers granted to the Federal Government and those reserved to the States or to the people , and by a cautious appreciation of those functions which by the Constitution and laws have been especially assigned to the executive branch of the Government ; and this is the price of our liberty and the inspiration of our faith in the Republic . It is the policy of Monroe and of Washington and Jefferson--\""Peace , commerce , and honest friendship with all nations . These topics and the constant and ever-varying wants of an active and enterprising population may well receive the attention and the patriotic endeavor of all who make and execute the Federal law","The large variety of diverse and competing interests subject to Federal control, persistently seeking the recognition of their claims, need give us no fear that \""the greatest good to the greatest number\ "" will fail to be accomplished if in the halls of national legislation that spirit of amity and mutual concession shall prevail in which the Constitution had its birth. In the discharge of my official duty I shall endeavor to be guided by a just and unstrained construction of the Constitution, a careful observance of the distinction between the powers granted to the Federal Government and those reserved to the States or to the people, and by a cautious appreciation of those functions which by the Constitution and laws have been especially assigned to the executive branch of the Government ; and this is the price of our liberty and the inspiration of our faith in the Republic. It is the policy of Monroe and of Washington and Jefferson--\""Peace, commerce, and honest friendship with all nations. These topics and the constant and ever-varying wants of an active and enterprising population may well receive the attention and the patriotic endeavor of all who make and execute the Federal law."
". I deem it fitting on this occasion , while indicating the opinion I hold concerning public questions of present importance , to also briefly refer to the existence of certain conditions and tendencies among our people which seem to menace the integrity and usefulness of their Government . While every American citizen must contemplate with the utmost pride and enthusiasm the growth and expansion of our country , the sufficiency of our institutions to stand against the rudest shocks of violence , the wonderful thrift and enterprise of our people , and the demonstrated superiority of our free government , it behooves us to constantly watch for every symptom of insidious infirmity that threatens our national vigor . In dealing with our present embarrassing situation as related to this subject we will be wise if we temper our confidence and faith in our national strength and resources with the frank concession that even these will not permit us to defy with impunity the inexorable laws of finance and trade . The oath I now take to preserve , protect , and defend the Constitution of the United States not only impressively defines the great responsibility I assume , but suggests obedience to constitutional commands as the rule by which my official conduct must be guided . I shall to the best of my ability and within my sphere of duty preserve the Constitution by loyally protecting every grant of Federal power it contains , by defending all its restraints when attacked by impatience and restlessness , and by enforcing its limitations and reservations in favor of the States and the people","I deem it fitting on this occasion, while indicating the opinion I hold concerning public questions of present importance, to also briefly refer to the existence of certain conditions and tendencies among our people which seem to menace the integrity and usefulness of their Government. While every American citizen must contemplate with the utmost pride and enthusiasm the growth and expansion of our country, the sufficiency of our institutions to stand against the rudest shocks of violence, the wonderful thrift and enterprise of our people, and the demonstrated superiority of our free government, it behooves us to constantly watch for every symptom of insidious infirmity that threatens our national vigor. In dealing with our present embarrassing situation as related to this subject we will be wise if we temper our confidence and faith in our national strength and resources with the frank concession that even these will not permit us to defy with impunity the inexorable laws of finance and trade. The oath I now take to preserve, protect, and defend the Constitution of the United States not only impressively defines the great responsibility I assume, but suggests obedience to constitutional commands as the rule by which my official conduct must be guided. I shall to the best of my ability and within my sphere of duty preserve the Constitution by loyally protecting every grant of Federal power it contains, by defending all its restraints when attacked by impatience and restlessness, and by enforcing its limitations and reservations in favor of the States and the people."
". The American people desire , and are determined to work for , a world in which all nations and all peoples are free to govern themselves as they see fit , and to achieve a decent and satisfying life . I state these differences , not to draw issues of belief as such , but because the actions resulting from the Communist philosophy are a threat to the efforts of free nations to bring about world recovery and lasting peace . The purpose of that unprecedented effort is to invigorate and strengthen democracy in Europe , so that the free people of that continent can resume their rightful place in the forefront of civilization and can contribute once more to the security and welfare of the world . We believe that the United Nations will be strengthened by the new nations which are being formed in lands now advancing toward self-government under democratic principles . In due time , as our stability becomes manifest , as more and more nations come to know the benefits of democracy and to participate in growing abundance , I believe that those countries which now oppose us will abandon their delusions and join with the free nations of the world in a just settlement of international differences","The American people desire, and are determined to work for, a world in which all nations and all peoples are free to govern themselves as they see fit, and to achieve a decent and satisfying life. I state these differences, not to draw issues of belief as such, but because the actions resulting from the Communist philosophy are a threat to the efforts of free nations to bring about world recovery and lasting peace. The purpose of that unprecedented effort is to invigorate and strengthen democracy in Europe, so that the free people of that continent can resume their rightful place in the forefront of civilization and can contribute once more to the security and welfare of the world. We believe that the United Nations will be strengthened by the new nations which are being formed in lands now advancing toward self-government under democratic principles. In due time, as our stability becomes manifest, as more and more nations come to know the benefits of democracy and to participate in growing abundance, I believe that those countries which now oppose us will abandon their delusions and join with the free nations of the world in a just settlement of international differences."
". 1 The 18th amendment to the Constitution , ratified January 16 , 1919 , prohibited \""the manufacture , sale , or transportation of intoxicating liquors within , the transportation thereof into , or the exportation thereof from the United States and all territory subject to the jurisdiction thereof for beverage purposes.\""To reestablish the vigor and effectiveness of law enforcement we must critically consider the entire Federal machinery of justice , the redistribution of its functions , the simplification of its procedure , the provision of additional special tribunals , the better selection of juries , and the more effective organization of our agencies of investigation and prosecution that justice may be sure and that it may be swift . While the authority of the Federal Government extends to but part of our vast system of national , State , and local justice , yet the standards which the Federal Government establishes have the most profound influence upon the whole structure ; but part are due to the failure of some States to accept their share of responsibility for concurrent enforcement and to the failure of many State and local officials to accept the obligation under their oath of office zealously to enforce the laws . Our people have determined that we should make no political engagements such as membership in the League of Nations , which may commit us in advance as a nation to become involved in the settlements of controversies between other countries . We maintain party government not to promote intolerant partisanship but because opportunity must be given for expression of the popular will , and organization provided for the execution of its mandates and for accountability of government to the people","1 The 18th amendment to the Constitution, ratified January 16, 1919, prohibited \""the manufacture, sale, or transportation of intoxicating liquors within, the transportation thereof into, or the exportation thereof from the United States and all territory subject to the jurisdiction thereof for beverage purposes.\""To reestablish the vigor and effectiveness of law enforcement we must critically consider the entire Federal machinery of justice, the redistribution of its functions, the simplification of its procedure, the provision of additional special tribunals, the better selection of juries, and the more effective organization of our agencies of investigation and prosecution that justice may be sure and that it may be swift. While the authority of the Federal Government extends to but part of our vast system of national, State, and local justice, yet the standards which the Federal Government establishes have the most profound influence upon the whole structure ; but part are due to the failure of some States to accept their share of responsibility for concurrent enforcement and to the failure of many State and local officials to accept the obligation under their oath of office zealously to enforce the laws. Our people have determined that we should make no political engagements such as membership in the League of Nations, which may commit us in advance as a nation to become involved in the settlements of controversies between other countries. We maintain party government not to promote intolerant partisanship but because opportunity must be given for expression of the popular will, and organization provided for the execution of its mandates and for accountability of government to the people."
": I appear before you this day to take the solemn oath \""that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States.\""In entering upon this great office I must humbly invoke the God of our fathers for wisdom and firmness to execute its high and responsible duties in such a manner as to restore harmony and ancient friendship among the people of the several States and to preserve our free institutions throughout many generations . Congress is neither \""to legislate slavery into any Territory or State nor to exclude it therefrom , but to leave the people thereof perfectly free to form and regulate their domestic institutions in their own way , subject only to the Constitution of the United States.\""As a natural consequence , Congress has also prescribed that when the Territory of Kansas shall be admitted as a State it \""shall be received into the Union with or without slavery , as their constitution may prescribe at the time of their admission.\""A difference of opinion has arisen in regard to the point of time when the people of a Territory shall decide this question for themselves . To their decision , in common with all good citizens , I shall cheerfully submit , whatever this may be , though it has ever been my individual opinion that under the Nebraska-Kansas act the appropriate period will be when the number of actual residents in the Territory shall justify the formation of a constitution with a view to its admission as a State into the Union . Under the Constitution Congress has power \""to declare war , \ "" \""to raise and support armies , \ "" \""to provide and maintain a navy , \ "" and to call forth the militia to \""repel invasions.\ "" Thus endowed , in an ample manner , with the war-making power , the corresponding duty is required that \""the United States shall protect each of them [ the States ] against invasion.\ "" Now , how is it possible to afford this protection to California and our Pacific possessions except by means of a military road through the Territories of the United States , over which men and munitions of war may be speedily transported from the Atlantic States to meet and to repel the invader . It might also be wise to consider whether the love for the Union which now animates our fellow-citizens on the Pacific Coast may not be impaired by our neglect or refusal to provide for them , in their remote and isolated condition , the only means by which the power of the States on this side of the Rocky Mountains can reach them in sufficient time to \""protect\ "" them \""against invasion.\ "" I forbear for the present from expressing an opinion as to the wisest and most economical mode in which the Government can lend its aid in accomplishing this great and necessary work","I appear before you this day to take the solemn oath \""that I will faithfully execute the office of President of the United States and will to the best of my ability preserve, protect, and defend the Constitution of the United States.\""In entering upon this great office I must humbly invoke the God of our fathers for wisdom and firmness to execute its high and responsible duties in such a manner as to restore harmony and ancient friendship among the people of the several States and to preserve our free institutions throughout many generations. Congress is neither \""to legislate slavery into any Territory or State nor to exclude it therefrom, but to leave the people thereof perfectly free to form and regulate their domestic institutions in their own way, subject only to the Constitution of the United States.\""As a natural consequence, Congress has also prescribed that when the Territory of Kansas shall be admitted as a State it \""shall be received into the Union with or without slavery, as their constitution may prescribe at the time of their admission.\""A difference of opinion has arisen in regard to the point of time when the people of a Territory shall decide this question for themselves. To their decision, in common with all good citizens, I shall cheerfully submit, whatever this may be, though it has ever been my individual opinion that under the Nebraska-Kansas act the appropriate period will be when the number of actual residents in the Territory shall justify the formation of a constitution with a view to its admission as a State into the Union. Under the Constitution Congress has power \""to declare war, \ "" \""to raise and support armies, \ "" \""to provide and maintain a navy, \ "" and to call forth the militia to \""repel invasions.\ "" Thus endowed, in an ample manner, with the war-making power, the corresponding duty is required that \""the United States shall protect each of them [ the States ] against invasion.\ "" Now, how is it possible to afford this protection to California and our Pacific possessions except by means of a military road through the Territories of the United States, over which men and munitions of war may be speedily transported from the Atlantic States to meet and to repel the invader. It might also be wise to consider whether the love for the Union which now animates our fellow-citizens on the Pacific Coast may not be impaired by our neglect or refusal to provide for them, in their remote and isolated condition, the only means by which the power of the States on this side of the Rocky Mountains can reach them in sufficient time to \""protect\ "" them \""against invasion.\ "" I forbear for the present from expressing an opinion as to the wisest and most economical mode in which the Government can lend its aid in accomplishing this great and necessary work."
". When they found , after a short trial , that the confederacy of States , was too weak to meet the necessities of a vigorous and expanding republic , they boldly set it aside , and in its stead established a National Union , founded directly upon the will of the people , endowed with full power of self-preservation and ample authority for the accomplishment of its great object . That discussion , which for half a century threatened the existence of the Union , was closed at last in the high court of war by a decree from which there is no appeal--that the Constitution and the laws made in pursuance thereof are and shall continue to be the supreme law of the land , binding alike upon the States and the people . The voters of the Union , who make and unmake constitutions , and upon whose will hang the destinies of our governments , can transmit their supreme authority to no successors save the coming generation of voters , who are the sole heirs of sovereign power . For the good of the service itself , for the protection of those who are intrusted with the appointing power against the waste of time and obstruction to the public business caused by the inordinate pressure for place , and for the protection of incumbents against intrigue and wrong , I shall at the proper time ask Congress to fix the tenure of the minor offices of the several Executive Departments and prescribe the grounds upon which removals shall be made during the terms for which incumbents have been appointed . Finally , acting always within the authority and limitations of the Constitution , invading neither the rights of the States nor the reserved rights of the people , it will be the purpose of my Administration to maintain the authority of the nation in all places within its jurisdiction","When they found, after a short trial, that the confederacy of States, was too weak to meet the necessities of a vigorous and expanding republic, they boldly set it aside, and in its stead established a National Union, founded directly upon the will of the people, endowed with full power of self-preservation and ample authority for the accomplishment of its great object. That discussion, which for half a century threatened the existence of the Union, was closed at last in the high court of war by a decree from which there is no appeal--that the Constitution and the laws made in pursuance thereof are and shall continue to be the supreme law of the land, binding alike upon the States and the people. The voters of the Union, who make and unmake constitutions, and upon whose will hang the destinies of our governments, can transmit their supreme authority to no successors save the coming generation of voters, who are the sole heirs of sovereign power. For the good of the service itself, for the protection of those who are intrusted with the appointing power against the waste of time and obstruction to the public business caused by the inordinate pressure for place, and for the protection of incumbents against intrigue and wrong, I shall at the proper time ask Congress to fix the tenure of the minor offices of the several Executive Departments and prescribe the grounds upon which removals shall be made during the terms for which incumbents have been appointed. Finally, acting always within the authority and limitations of the Constitution, invading neither the rights of the States nor the reserved rights of the people, it will be the purpose of my Administration to maintain the authority of the nation in all places within its jurisdiction."
". If the more aged and experienced men who have filled the office of President of the United States even in the infancy of the Republic distrusted their ability to discharge the duties of that exalted station , what ought not to be the apprehensions of one so much younger and less endowed now that our domain extends from ocean to ocean , that our people have so greatly increased in numbers , and at a time when so great diversity of opinion prevails in regard to the principles and policy which should characterize the administration of our Government . With a firm reliance upon the wisdom of Omnipotence to sustain and direct me in the path of duty which I am appointed to pursue , I stand in the presence of this assembled multitude of my countrymen to take upon myself the solemn obligation \""to the best of my ability to preserve , protect , and defend the Constitution of the United States.\""A concise enumeration of the principles which will guide me in the administrative policy of the Government is not only in accordance with the examples set me by all my predecessors , but is eminently befitting the occasion . The Government of the United States is one of delegated and limited powers , and it is by a strict adherence to the clearly granted powers and by abstaining from the exercise of doubtful or unauthorized implied powers that we have the only sure guaranty against the recurrence of those unfortunate collisions between the Federal and State authorities which have occasionally so much disturbed the harmony of our system and even threatened the perpetuity of our glorious Union.\""To the States , respectively , or to the people\ "" have been reserved \""the powers not delegated to the United States by the Constitution nor prohibited by it to the States.\ "" Each State is a complete sovereignty within the sphere of its reserved powers . \""Justice and sound policy forbid the Federal Government to foster one branch of industry to the detriment of another , or to cherish the interests of one portion to the injury of another portion of our common country.\ "" I have heretofore declared to my fellow-citizens that \""in my judgment it is the duty of the Government to extend , as far as it may be practicable to do so , by its revenue laws and all other means within its power , fair and just protection to all of the great interests of the whole Union , embracing agriculture , manufactures , the mechanic arts , commerce , and navigation.\ "" I have also declared my opinion to be \""in favor of a tariff for revenue , \ "" and that \""in adjusting the details of such a tariff I have sanctioned such moderate discriminating duties as would produce the amount of revenue needed and at the same time afford reasonable incidental protection to our home industry , \ "" and that I was \""opposed to a tariff for protection merely , and not for revenue.\""The power \""to lay and collect taxes , duties , imposts , and excises\ "" was an indispensable one to be conferred on the Federal Government , which without it would possess no means of providing for its own support . Perceiving no valid objection to the measure and many reasons for its adoption vitally affecting the peace , the safety , and the prosperity of both countries , I shall on the broad principle which formed the basis and produced the adoption of our Constitution , and not in any narrow spirit of sectional policy , endeavor by all constitutional , honorable , and appropriate means to consummate the expressed will of the people and Government of the United States by the reannexation of Texas to our Union at the earliest practicable period","If the more aged and experienced men who have filled the office of President of the United States even in the infancy of the Republic distrusted their ability to discharge the duties of that exalted station, what ought not to be the apprehensions of one so much younger and less endowed now that our domain extends from ocean to ocean, that our people have so greatly increased in numbers, and at a time when so great diversity of opinion prevails in regard to the principles and policy which should characterize the administration of our Government. With a firm reliance upon the wisdom of Omnipotence to sustain and direct me in the path of duty which I am appointed to pursue, I stand in the presence of this assembled multitude of my countrymen to take upon myself the solemn obligation \""to the best of my ability to preserve, protect, and defend the Constitution of the United States.\""A concise enumeration of the principles which will guide me in the administrative policy of the Government is not only in accordance with the examples set me by all my predecessors, but is eminently befitting the occasion. The Government of the United States is one of delegated and limited powers, and it is by a strict adherence to the clearly granted powers and by abstaining from the exercise of doubtful or unauthorized implied powers that we have the only sure guaranty against the recurrence of those unfortunate collisions between the Federal and State authorities which have occasionally so much disturbed the harmony of our system and even threatened the perpetuity of our glorious Union.\""To the States, respectively, or to the people\ "" have been reserved \""the powers not delegated to the United States by the Constitution nor prohibited by it to the States.\ "" Each State is a complete sovereignty within the sphere of its reserved powers. \""Justice and sound policy forbid the Federal Government to foster one branch of industry to the detriment of another, or to cherish the interests of one portion to the injury of another portion of our common country.\ "" I have heretofore declared to my fellow-citizens that \""in my judgment it is the duty of the Government to extend, as far as it may be practicable to do so, by its revenue laws and all other means within its power, fair and just protection to all of the great interests of the whole Union, embracing agriculture, manufactures, the mechanic arts, commerce, and navigation.\ "" I have also declared my opinion to be \""in favor of a tariff for revenue, \ "" and that \""in adjusting the details of such a tariff I have sanctioned such moderate discriminating duties as would produce the amount of revenue needed and at the same time afford reasonable incidental protection to our home industry, \ "" and that I was \""opposed to a tariff for protection merely, and not for revenue.\""The power \""to lay and collect taxes, duties, imposts, and excises\ "" was an indispensable one to be conferred on the Federal Government, which without it would possess no means of providing for its own support. Perceiving no valid objection to the measure and many reasons for its adoption vitally affecting the peace, the safety, and the prosperity of both countries, I shall on the broad principle which formed the basis and produced the adoption of our Constitution, and not in any narrow spirit of sectional policy, endeavor by all constitutional, honorable, and appropriate means to consummate the expressed will of the people and Government of the United States by the reannexation of Texas to our Union at the earliest practicable period."
". Proofs of this were seen in the improvements of agriculture , in the successful enterprises of commerce , in the progress of manufacturers and useful arts , in the increase of the public revenue and the use made of it in reducing the public debt , and in the valuable works and establishments everywhere multiplying over the face of our land . Indulging no passions which trespass on the rights or the repose of other nations , it has been the true glory of the United States to cultivate peace by observing justice , and to entitle themselves to the respect of the nations at war by fulfilling their neutral obligations with the most scrupulous impartiality ; to carry on the benevolent plans which have been so meritoriously applied to the conversion of our aboriginal neighbors from the degradation and wretchedness of savage life to a participation of the improvements of which the human mind and manners are susceptible in a civilized state--as far as sentiments and intentions such as these can aid the fulfillment of my duty , they will be a resource which can not fail me . I may , however , be pardoned for not suppressing the sympathy with which my heart is full in the rich reward he enjoys in the benedictions of a beloved country , gratefully bestowed or exalted talents zealously devoted through a long career to the advancement of its highest interest and happiness . In these my confidence will under every difficulty be best placed , next to that which we have all been encouraged to feel in the guardianship and guidance of that Almighty Being whose power regulates the destiny of nations , whose blessings have been so conspicuously dispensed to this rising Republic , and to whom we are bound to address our devout gratitude for the past , as well as our fervent supplications and best hopes for the future","Proofs of this were seen in the improvements of agriculture, in the successful enterprises of commerce, in the progress of manufacturers and useful arts, in the increase of the public revenue and the use made of it in reducing the public debt, and in the valuable works and establishments everywhere multiplying over the face of our land. Indulging no passions which trespass on the rights or the repose of other nations, it has been the true glory of the United States to cultivate peace by observing justice, and to entitle themselves to the respect of the nations at war by fulfilling their neutral obligations with the most scrupulous impartiality ; to carry on the benevolent plans which have been so meritoriously applied to the conversion of our aboriginal neighbors from the degradation and wretchedness of savage life to a participation of the improvements of which the human mind and manners are susceptible in a civilized state--as far as sentiments and intentions such as these can aid the fulfillment of my duty, they will be a resource which can not fail me. I may, however, be pardoned for not suppressing the sympathy with which my heart is full in the rich reward he enjoys in the benedictions of a beloved country, gratefully bestowed or exalted talents zealously devoted through a long career to the advancement of its highest interest and happiness. In these my confidence will under every difficulty be best placed, next to that which we have all been encouraged to feel in the guardianship and guidance of that Almighty Being whose power regulates the destiny of nations, whose blessings have been so conspicuously dispensed to this rising Republic, and to whom we are bound to address our devout gratitude for the past, as well as our fervent supplications and best hopes for the future."
"About to add the solemnity of an oath to the obligations imposed by a second call to the station in which my country heretofore placed me , I find in the presence of this respectable assembly an opportunity of publicly repeating my profound sense of so distinguished a confidence and of the responsibility united with it . From the weight and magnitude now belonging to it I should be compelled to shrink if I had less reliance on the support of an enlightened and generous people , and felt less deeply a conviction that the war with a powerful nation , which forms so prominent a feature in our situation , is stamped with that justice which invites the smiles of Heaven on the means of conducting it to a successful termination ; nor until this last appeal could no longer be delayed without breaking down the spirit of the nation , destroying all confidence in itself and in its political institutions , and either perpetuating a state of disgraceful suffering or regaining by more costly sacrifices and more severe struggles our lost rank and respect among independent powers . They have refused to consider as prisoners of war , and threatened to punish as traitors and deserters , persons emigrating without restraint to the United States , incorporated by naturalization into our political family , and fighting under the authority of their adopted country in open and honorable war for the maintenance of its rights and safety . When the public voice called for war , all knew , and still know , that without them it could not be carried on through the period which it might last , and the patriotism , the good sense , and the manly spirit of our fellow-citizens are pledges for the cheerfulness with which they will bear each his share of the common burden","About to add the solemnity of an oath to the obligations imposed by a second call to the station in which my country heretofore placed me, I find in the presence of this respectable assembly an opportunity of publicly repeating my profound sense of so distinguished a confidence and of the responsibility united with it. From the weight and magnitude now belonging to it I should be compelled to shrink if I had less reliance on the support of an enlightened and generous people, and felt less deeply a conviction that the war with a powerful nation, which forms so prominent a feature in our situation, is stamped with that justice which invites the smiles of Heaven on the means of conducting it to a successful termination ; nor until this last appeal could no longer be delayed without breaking down the spirit of the nation, destroying all confidence in itself and in its political institutions, and either perpetuating a state of disgraceful suffering or regaining by more costly sacrifices and more severe struggles our lost rank and respect among independent powers. They have refused to consider as prisoners of war, and threatened to punish as traitors and deserters, persons emigrating without restraint to the United States, incorporated by naturalization into our political family, and fighting under the authority of their adopted country in open and honorable war for the maintenance of its rights and safety. When the public voice called for war, all knew, and still know, that without them it could not be carried on through the period which it might last, and the patriotism, the good sense, and the manly spirit of our fellow-citizens are pledges for the cheerfulness with which they will bear each his share of the common burden"
"; the States , respectively protected by the National Government under a mild , parental system against foreign dangers , and enjoying within their separate spheres , by a wise partition of power , a just proportion of the sovereignty , have improved their police , extended their settlements , and attained a strength and maturity which are the best proofs of wholesome laws well administered . Our fellow-citizens of the North engaged in navigation find great encouragement in being made the favored carriers of the vast productions of the other portions of the United States , while the inhabitants of these are amply recompensed , in their turn , by the nursery for seamen and naval force thus formed and reared up for the support of our common rights . Experiencing the fortune of other nations , the United States may be again involved in war , and it may in that event be the object of the adverse party to overset our Government , to break our Union , and demolish us as a nation . To put our extensive coast in such a state of defense as to secure our cities and interior from invasion will be attended with expense , but the work when finished will be permanent , and it is fair to presume that a single campaign of invasion by a naval force superior to our own , aided by a few thousand land troops , would expose us to greater expense , without taking into the estimate the loss of property and distress of our citizens , than would be sufficient for this great work . Our land and naval forces should be moderate , but adequate to the necessary purposes--the former to garrison and preserve our fortifications and to meet the first invasions of a foreign foe , and , while constituting the elements of a greater force , to preserve the science as well as all the necessary implements of war in a state to be brought into activity in the event of war","the States, respectively protected by the National Government under a mild, parental system against foreign dangers, and enjoying within their separate spheres, by a wise partition of power, a just proportion of the sovereignty, have improved their police, extended their settlements, and attained a strength and maturity which are the best proofs of wholesome laws well administered. Our fellow-citizens of the North engaged in navigation find great encouragement in being made the favored carriers of the vast productions of the other portions of the United States, while the inhabitants of these are amply recompensed, in their turn, by the nursery for seamen and naval force thus formed and reared up for the support of our common rights. Experiencing the fortune of other nations, the United States may be again involved in war, and it may in that event be the object of the adverse party to overset our Government, to break our Union, and demolish us as a nation. To put our extensive coast in such a state of defense as to secure our cities and interior from invasion will be attended with expense, but the work when finished will be permanent, and it is fair to presume that a single campaign of invasion by a naval force superior to our own, aided by a few thousand land troops, would expose us to greater expense, without taking into the estimate the loss of property and distress of our citizens, than would be sufficient for this great work. Our land and naval forces should be moderate, but adequate to the necessary purposes--the former to garrison and preserve our fortifications and to meet the first invasions of a foreign foe, and, while constituting the elements of a greater force, to preserve the science as well as all the necessary implements of war in a state to be brought into activity in the event of war."
". The advantage of these fortifications and of an augmented naval force in the extent contemplated , in a point of economy , has been fully illustrated by a report of the Board of Engineers and Naval Commissioners lately communicated to Congress , by which it appears that in an invasion by 20,000 men , with a correspondent naval force , in a campaign of six months only , the whole expense of the construction of the works would be defrayed by the difference in the sum necessary to maintain the force which would be adequate to our defense with the aid of those works and that which would be incurred without them . But if there were no fortifications , then the enemy might go where he pleased , and , changing his position and sailing from place to place , our force must be called out and spread in vast numbers along the whole coast and on both sides of every bay and river as high up in each as it might be navigable for ships of war . This decision , the first made by any power , being formed on great consideration of the comparative strength and resources of the parties , the length of time , and successful opposition made by the colonies , and of all other circumstances on which it ought to depend , was in strict accord with the law of nations . Of this spirit and of its injurious bearing on the United States strong proofs were afforded by the establishment at Amelia Island , and the purposes to which it was made instrumental by this band in 1817 , and by the occurrences which took place in other parts of Florida in 1818 , the details of which in both instances are too well known to require to be now recited . The payment of nearly $67,000,000 of the public debt , with the great progress made in measures of defense and in other improvements of various kinds since the late war , are conclusive proofs of this extraordinary prosperity , especially when it is recollected that these expenditures have been defrayed without a burthen on the people , the direct tax and excise having been repealed soon after the conclusion of the late war , and the revenue applied to these great objects having been raised in a manner not to be felt","The advantage of these fortifications and of an augmented naval force in the extent contemplated, in a point of economy, has been fully illustrated by a report of the Board of Engineers and Naval Commissioners lately communicated to Congress, by which it appears that in an invasion by 20,000 men, with a correspondent naval force, in a campaign of six months only, the whole expense of the construction of the works would be defrayed by the difference in the sum necessary to maintain the force which would be adequate to our defense with the aid of those works and that which would be incurred without them. But if there were no fortifications, then the enemy might go where he pleased, and, changing his position and sailing from place to place, our force must be called out and spread in vast numbers along the whole coast and on both sides of every bay and river as high up in each as it might be navigable for ships of war. This decision, the first made by any power, being formed on great consideration of the comparative strength and resources of the parties, the length of time, and successful opposition made by the colonies, and of all other circumstances on which it ought to depend, was in strict accord with the law of nations. Of this spirit and of its injurious bearing on the United States strong proofs were afforded by the establishment at Amelia Island, and the purposes to which it was made instrumental by this band in 1817, and by the occurrences which took place in other parts of Florida in 1818, the details of which in both instances are too well known to require to be now recited. The payment of nearly $67,000,000 of the public debt, with the great progress made in measures of defense and in other improvements of various kinds since the late war, are conclusive proofs of this extraordinary prosperity, especially when it is recollected that these expenditures have been defrayed without a burthen on the people, the direct tax and excise having been repealed soon after the conclusion of the late war, and the revenue applied to these great objects having been raised in a manner not to be felt."
